date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,surface_pressure_mean,windspeed_10m_max,precipitation_sum
2015-01-01,28.4,20.9,24.3,77,1013.4,11.5,0.0
2015-01-02,28.8,21.6,24.6,76,1014.8,14.9,0.6
2015-01-03,28.5,21.2,24.2,76,1015.1,19.8,1.2
2015-01-04,29.3,21.3,24.6,73,1015.4,18.0,0.0
2015-01-05,29.3,21.2,24.5,71,1015.9,15.5,0.0
2015-01-06,27.1,21.5,23.6,77,1014.9,14.6,1.9
2015-01-07,27.6,20.6,23.7,76,1012.4,12.8,0.2
2015-01-08,27.9,20.7,23.7,77,1012.0,10.1,0.1
2015-01-09,27.9,20.2,23.5,78,1012.8,13.7,1.3
2015-01-10,28.1,20.9,23.8,77,1013.4,11.7,0.1
2015-01-11,28.3,21.4,24.1,79,1013.6,16.3,1.5
2015-01-12,27.7,21.7,24.0,80,1012.9,14.0,2.3
2015-01-13,28.6,21.1,24.2,76,1011.8,11.9,0.6
2015-01-14,27.3,20.1,23.5,82,1010.3,11.8,1.9
2015-01-15,27.9,20.2,24.0,83,1010.4,10.8,1.0
2015-01-16,28.0,21.6,24.3,84,1009.7,11.2,1.9
2015-01-17,28.1,21.8,24.3,80,1010.1,15.3,0.0
2015-01-18,28.3,22.2,24.5,75,1011.0,13.7,0.4
2015-01-19,29.1,20.9,24.4,75,1010.3,14.2,0.0
2015-01-20,27.5,21.0,23.8,73,1010.0,14.3,0.3
2015-01-21,28.6,20.0,23.9,74,1009.9,10.0,0.0
2015-01-22,28.7,20.6,24.1,73,1011.0,16.2,0.0
2015-01-23,28.7,20.8,24.3,72,1010.8,12.3,0.0
2015-01-24,27.9,21.0,24.1,78,1010.3,11.3,0.0
2015-01-25,28.2,21.4,24.4,80,1009.9,10.7,0.4
2015-01-26,27.6,19.4,23.7,79,1009.5,13.5,0.9
2015-01-27,28.2,21.4,24.1,82,1009.4,11.9,2.2
2015-01-28,26.9,21.2,23.5,84,1009.8,10.8,4.5
2015-01-29,26.2,20.5,22.9,79,1010.4,19.2,0.1
2015-01-30,26.9,20.4,22.8,79,1010.3,16.7,1.7
2015-01-31,27.1,20.7,22.8,83,1010.5,14.3,3.6
2015-02-01,25.5,20.9,22.7,82,1012.6,14.6,3.2
2015-02-02,28.3,20.3,23.8,75,1012.2,12.0,0.0
2015-02-03,28.1,20.8,24.0,80,1012.3,10.1,0.4
2015-02-04,28.4,21.2,24.2,77,1011.3,13.3,1.0
2015-02-05,28.4,20.5,24.0,79,1009.9,13.0,0.5
2015-02-06,27.9,20.5,24.1,79,1009.3,9.0,0.6
2015-02-07,28.1,20.2,23.4,78,1009.2,12.4,2.9
2015-02-08,27.6,20.8,23.3,79,1010.2,11.8,0.6
2015-02-09,28.0,20.3,23.5,83,1008.2,12.6,0.8
2015-02-10,28.2,21.9,24.5,80,1004.5,21.7,0.1
2015-02-11,29.8,21.9,25.1,75,1005.0,11.4,0.0
2015-02-12,27.3,21.2,24.1,67,1009.1,12.6,0.3
2015-02-13,27.9,21.0,24.0,72,1010.5,11.0,2.2
2015-02-14,28.5,21.3,24.2,80,1010.7,12.2,1.5
2015-02-15,28.4,21.5,24.4,72,1011.4,16.5,0.0
2015-02-16,27.6,21.1,23.8,64,1012.2,20.9,0.0
2015-02-17,27.5,20.8,23.7,73,1011.5,13.6,0.4
2015-02-18,29.2,19.1,23.9,80,1010.9,13.6,0.0
2015-02-19,30.1,18.9,24.5,75,1009.8,9.1,0.1
2015-02-20,27.7,21.3,23.5,81,1010.5,14.5,13.1
2015-02-21,27.1,20.1,22.9,82,1013.0,18.3,8.4
2015-02-22,28.0,21.2,23.9,80,1012.7,13.6,1.9
2015-02-23,29.4,21.1,24.4,73,1011.9,13.3,0.0
2015-02-24,28.0,20.4,24.0,76,1010.6,10.1,0.6
2015-02-25,28.0,20.0,23.7,80,1010.5,12.5,1.2
2015-02-26,27.8,19.8,23.7,80,1011.1,15.3,1.8
2015-02-27,28.7,21.1,24.3,74,1012.1,14.9,1.8
2015-02-28,28.1,21.2,24.2,77,1013.5,15.9,5.0
2015-03-01,29.5,21.5,24.5,72,1014.1,16.4,2.2
2015-03-02,27.8,20.8,23.6,75,1013.0,15.1,1.1
2015-03-03,28.1,20.5,23.4,75,1011.9,16.6,1.7
2015-03-04,27.7,20.4,23.8,70,1012.5,17.9,1.6
2015-03-05,28.4,20.5,24.0,69,1013.0,18.6,0.5
2015-03-06,28.9,20.6,24.2,72,1013.3,13.7,0.7
2015-03-07,27.5,20.5,23.8,75,1013.3,13.4,2.4
2015-03-08,27.6,21.1,23.8,71,1012.4,15.8,1.0
2015-03-09,29.7,20.8,24.4,70,1011.5,15.3,0.1
2015-03-10,29.5,21.3,24.8,73,1012.8,18.2,3.1
2015-03-11,29.8,21.1,24.6,69,1013.3,17.8,1.8
2015-03-12,28.0,21.4,24.1,73,1012.4,16.9,3.2
2015-03-13,30.2,20.1,24.3,66,1011.6,17.0,0.0
2015-03-14,27.3,21.4,23.8,78,1011.5,16.3,4.4
2015-03-15,28.7,20.8,24.2,73,1011.5,13.3,0.0
2015-03-16,28.3,20.6,24.1,74,1010.3,10.8,0.2
2015-03-17,28.0,20.4,23.8,75,1010.0,11.2,0.3
2015-03-18,28.3,20.1,24.2,74,1009.7,11.8,0.0
2015-03-19,29.7,20.9,24.7,72,1010.5,12.5,0.5
2015-03-20,27.8,21.2,24.2,76,1011.3,9.8,1.0
2015-03-21,28.9,20.6,24.5,74,1010.7,8.9,0.6
2015-03-22,29.7,20.9,25.0,68,1010.2,11.1,0.2
2015-03-23,28.7,20.5,24.6,74,1010.6,12.9,0.2
2015-03-24,28.9,21.1,24.9,77,1011.7,11.0,0.3
2015-03-25,29.5,20.9,25.0,74,1012.0,10.5,0.7
2015-03-26,29.2,21.7,25.0,73,1011.6,12.5,0.8
2015-03-27,28.2,20.7,24.6,75,1011.5,13.6,1.3
2015-03-28,29.2,22.0,25.3,72,1012.6,13.3,0.4
2015-03-29,29.0,21.3,24.9,73,1012.5,13.0,0.0
2015-03-30,28.5,21.7,24.8,73,1011.5,11.8,1.3
2015-03-31,27.7,21.2,24.0,76,1010.8,10.5,2.1
2015-04-01,28.6,20.4,24.2,74,1011.1,10.9,0.2
2015-04-02,29.6,21.2,24.5,75,1011.8,11.9,4.1
2015-04-03,28.1,21.0,24.2,74,1011.1,13.4,2.1
2015-04-04,28.4,20.8,24.2,70,1009.7,12.3,0.7
2015-04-05,29.4,20.8,24.6,69,1009.0,15.5,0.0
2015-04-06,28.9,21.0,24.1,75,1010.3,15.8,2.1
2015-04-07,28.9,21.2,24.4,76,1010.8,11.9,2.1
2015-04-08,28.6,21.3,24.5,76,1010.5,14.9,2.3
2015-04-09,29.1,21.4,25.0,72,1011.2,15.2,0.0
2015-04-10,28.9,21.6,24.8,75,1011.6,13.7,3.5
